sample;annotation
Jacobs, Monarch;[(1, 7, 'B-BRAND'), (8, 15, 'I-BRAND')]
Вкусняев;[(1, 9, 'B-BRAND')]
Спартак;[(1, 8, 'B-BRAND')]
nuttiness;[(1, 10, 'B-BRAND')]
Бурёнка Клаб;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND')]
Вьетконг;[(1, 9, 'B-BRAND')]
Musler Pro;[(1, 6, 'B-BRAND'), (7, 10, 'I-BRAND')]
Sporty;[(1, 7, 'B-BRAND')]
Алтайагросоюз;[(1, 14, 'B-BRAND')]
Брестский традиции;[(1, 9, 'B-BRAND'), (10, 18, 'I-BRAND')]
Цикорич,Chicorich,ООО «Фаворит»;[(1, 21, 'B-BRAND'), (22, 31, 'I-BRAND')]
Царские припасы;[(1, 7, 'B-BRAND'), (8, 15, 'I-BRAND')]
Cirok Traditional;[(1, 5, 'B-BRAND'), (6, 17, 'I-BRAND')]
Alpen Gold,Mondelez,Alpen Gold Max Fun;[(1, 5, 'B-BRAND'), (6, 24, 'I-BRAND'), (25, 28, 'I-BRAND'), (29, 31, 'I-BRAND'), (32, 35, 'I-BRAND')]
Brunchers;[(1, 10, 'B-BRAND')]
Natur Foods;[(1, 5, 'B-BRAND'), (6, 11, 'I-BRAND')]
Большая Кружка;[(1, 7, 'B-BRAND'), (8, 14, 'I-BRAND')]
Я;[(1, 2, 'B-BRAND')]
Провансаль;[(1, 11, 'B-BRAND')]
Bruto;[(1, 6, 'B-BRAND')]
Владимирский стандарт;[(1, 12, 'B-BRAND'), (13, 21, 'I-BRAND')]
Чипсы Lay's Драники;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND'), (11, 18, 'I-BRAND')]
Маркет Перекрëсток;[(1, 6, 'B-BRAND'), (7, 18, 'I-BRAND')]
Край родимый;[(1, 4, 'B-BRAND'), (5, 12, 'I-BRAND')]
Goodmix;[(1, 8, 'B-BRAND')]
ПК Вологодский молочный комбинат;[(1, 2, 'B-BRAND'), (3, 13, 'I-BRAND'), (14, 21, 'I-BRAND'), (22, 30, 'I-BRAND')]
Эвалар;[(1, 7, 'B-BRAND')]
essa;[(1, 5, 'B-BRAND')]
Провильно;[(1, 10, 'B-BRAND')]
Витако,ООО «СК Витако»;[(1, 10, 'B-BRAND'), (11, 13, 'I-BRAND'), (14, 21, 'I-BRAND')]
Meller шоколад;[(1, 6, 'B-BRAND'), (7, 14, 'I-BRAND')]
ООО Торговая компания;[(1, 3, 'B-BRAND'), (4, 11, 'I-BRAND'), (12, 20, 'I-BRAND')]
Лейс;[(1, 5, 'B-BRAND')]
Bonfesto;[(1, 9, 'B-BRAND')]
чистая линия;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
Люди Любят;[(1, 4, 'B-BRAND'), (5, 10, 'I-BRAND')]
Аютинский;[(1, 10, 'B-BRAND')]
saint spring, святой источник;[(1, 5, 'B-BRAND'), (6, 12, 'I-BRAND'), (13, 18, 'I-BRAND'), (19, 27, 'I-BRAND')]
Поморская трапеза;[(1, 9, 'B-BRAND'), (10, 17, 'I-BRAND')]
Soko GRANDE Premium;[(1, 4, 'B-BRAND'), (5, 10, 'I-BRAND'), (11, 18, 'I-BRAND')]
здороведа;[(1, 10, 'B-BRAND')]
Волшебница;[(1, 11, 'B-BRAND')]
Мама Лама;[(1, 4, 'B-BRAND'), (5, 9, 'I-BRAND')]
Утренняя свирель,Хрустайм;[(1, 8, 'B-BRAND'), (9, 25, 'I-BRAND')]
Alyonka, Алёнка, Красный Октябрь;[(1, 8, 'B-BRAND'), (9, 15, 'I-BRAND'), (16, 22, 'I-BRAND'), (23, 30, 'I-BRAND')]
Polyakova Irina Anatolievna,Полякова И.А.,Заслуженный предприниматель Полякова И. А.;[(1, 9, 'B-BRAND'), (10, 14, 'I-BRAND'), (15, 34, 'I-BRAND'), (35, 50, 'I-BRAND'), (51, 65, 'I-BRAND'), (66, 73, 'I-BRAND'), (74, 75, 'I-BRAND'), (76, 78, 'I-BRAND')]
Ястро-Переработка;[(1, 18, 'B-BRAND')]
Tasty-time;[(1, 11, 'B-BRAND')]
Concept;[(1, 8, 'B-BRAND')]
Большая перемена,ОАО МосМедыньАгропром;[(1, 7, 'B-BRAND'), (8, 19, 'I-BRAND'), (20, 37, 'I-BRAND')]
Карламанский молочный комбинат;[(1, 12, 'B-BRAND'), (13, 20, 'I-BRAND'), (21, 29, 'I-BRAND')]
Долина овощей;[(1, 6, 'B-BRAND'), (7, 13, 'I-BRAND')]
Babyfox;[(1, 8, 'B-BRAND')]
Айсберри;[(1, 9, 'B-BRAND')]
Киновский,ОАО «Московский винно-коньячный завод «КиН»;[(1, 13, 'B-BRAND'), (14, 24, 'I-BRAND'), (25, 39, 'I-BRAND'), (40, 44, 'I-BRAND'), (45, 50, 'I-BRAND')]
Golubitskoe Estate;[(1, 11, 'B-BRAND'), (12, 18, 'I-BRAND')]
Абрико;[(1, 7, 'B-BRAND')]
українська мрія;[(1, 10, 'B-BRAND'), (11, 15, 'I-BRAND')]
Vego;[(1, 5, 'B-BRAND')]
Суперсуп;[(1, 9, 'B-BRAND')]
epica;[(1, 6, 'B-BRAND')]
K-Classic;[(1, 10, 'B-BRAND')]
Азовская КФ;[(1, 8, 'B-BRAND'), (9, 11, 'I-BRAND')]
Chocodate;[(1, 10, 'B-BRAND')]
bagerstat;[(1, 10, 'B-BRAND')]
Октябрьская.;[(1, 13, 'B-BRAND')]
Polza;[(1, 6, 'B-BRAND')]
Уральские кондитеры;[(1, 9, 'B-BRAND'), (10, 19, 'I-BRAND')]
На здоровье!;[(1, 2, 'B-BRAND'), (3, 12, 'I-BRAND')]
Сытый папа;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
Acho;[(1, 5, 'B-BRAND')]
Большая кружка;[(1, 7, 'B-BRAND'), (8, 14, 'I-BRAND')]
Ясно солнышко;[(1, 4, 'B-BRAND'), (5, 13, 'I-BRAND')]
Белгородские овощи;[(1, 12, 'B-BRAND'), (13, 18, 'I-BRAND')]
Oldenburger;[(1, 12, 'B-BRAND')]
Пава-пава;[(1, 10, 'B-BRAND')]
Perfect taste,Фаворит;[(1, 7, 'B-BRAND'), (8, 21, 'I-BRAND')]
DZALA;[(1, 6, 'B-BRAND')]
VkusVill;[(1, 9, 'B-BRAND')]
Chio;[(1, 5, 'B-BRAND')]
Хлебный Дом;[(1, 7, 'B-BRAND'), (8, 11, 'I-BRAND')]
Романовъ;[(1, 9, 'B-BRAND')]
Б;[(1, 2, 'B-BRAND')]
Актуаль,Данон Россия;[(1, 13, 'B-BRAND'), (14, 20, 'I-BRAND')]
BB / Vkusvill;[(1, 2, 'B-BRAND'), (3, 3, 'I-BRAND'), (4, 12, 'I-BRAND')]
Natures Sunshine;[(1, 7, 'B-BRAND'), (8, 16, 'I-BRAND')]
Лукашинские;[(1, 12, 'B-BRAND')]
Rich;[(1, 5, 'B-BRAND')]
Готово;[(1, 7, 'B-BRAND')]
Мясной дом;[(1, 6, 'B-BRAND'), (7, 10, 'I-BRAND')]
Ёбатон;[(1, 7, 'B-BRAND')]
SALDENS;[(1, 8, 'B-BRAND')]
семилукская трапеза;[(1, 11, 'B-BRAND'), (12, 19, 'I-BRAND')]
Сибирский деликатес;[(1, 9, 'B-BRAND'), (10, 19, 'I-BRAND')]
Parlamat Comfort;[(1, 8, 'B-BRAND'), (9, 16, 'I-BRAND')]
ООО Фуд Рев*;[(1, 3, 'B-BRAND'), (4, 6, 'I-BRAND'), (7, 11, 'I-BRAND')]
ООО «Меркурий-Н»;[(1, 3, 'B-BRAND'), (4, 16, 'I-BRAND')]
makfa;[(1, 6, 'B-BRAND')]
ООО Эрманн;[(1, 3, 'B-BRAND'), (4, 10, 'I-BRAND')]
АО Молочный комбинат «Пензенский»;[(1, 2, 'B-BRAND'), (3, 10, 'I-BRAND'), (11, 18, 'I-BRAND'), (19, 31, 'I-BRAND')]
Arla Natura;[(1, 4, 'B-BRAND'), (5, 11, 'I-BRAND')]
Develey;[(1, 8, 'B-BRAND')]
юнис ооо;[(1, 4, 'B-BRAND'), (5, 8, 'I-BRAND')]
Мтародворье;[(1, 12, 'B-BRAND')]
ДЕН-ТРАЛ;[(1, 9, 'B-BRAND')]
Энгель;[(1, 7, 'B-BRAND')]
Северянин;[(1, 10, 'B-BRAND')]
Юй Мэй;[(1, 2, 'B-BRAND'), (3, 6, 'I-BRAND')]
Neo Botanica;[(1, 3, 'B-BRAND'), (4, 12, 'I-BRAND')]
Русская картошка;[(1, 7, 'B-BRAND'), (8, 16, 'I-BRAND')]
Очень Важная корова;[(1, 5, 'B-BRAND'), (6, 11, 'I-BRAND'), (12, 18, 'I-BRAND')]
Проект Свежий Хлеб;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND'), (13, 17, 'I-BRAND')]
Zuegg;[(1, 6, 'B-BRAND')]
Barilla;[(1, 8, 'B-BRAND')]
Mountain Dew;[(1, 8, 'B-BRAND'), (9, 12, 'I-BRAND')]
Валентина Брюховецкая;[(1, 9, 'B-BRAND'), (10, 21, 'I-BRAND')]
Козельская;[(1, 11, 'B-BRAND')]
Акконд;[(1, 7, 'B-BRAND')]
Emco;[(1, 5, 'B-BRAND')]
Shock;[(1, 6, 'B-BRAND')]
ешоа;[(1, 5, 'B-BRAND')]
Lactica, Лактика;[(1, 8, 'B-BRAND'), (9, 16, 'I-BRAND')]
ДмитроГорский продукт;[(1, 13, 'B-BRAND'), (14, 21, 'I-BRAND')]
DonnaVera;[(1, 10, 'B-BRAND')]
Ногинский пищевой комбинат,BILLA;[(1, 9, 'B-BRAND'), (10, 16, 'I-BRAND'), (17, 31, 'I-BRAND')]
oreo;[(1, 5, 'B-BRAND')]
AIDA;[(1, 5, 'B-BRAND')]
botaniką;[(1, 9, 'B-BRAND')]
Шоколадово;[(1, 11, 'B-BRAND')]
ZOZU;[(1, 5, 'B-BRAND')]
ООО Кондитерская фабрика;[(1, 3, 'B-BRAND'), (4, 15, 'I-BRAND'), (16, 23, 'I-BRAND')]
Приправыч;[(1, 10, 'B-BRAND')]
Хлебцы Молодцы;[(1, 6, 'B-BRAND'), (7, 14, 'I-BRAND')]
Spartiosis;[(1, 11, 'B-BRAND')]
Хлебокомбинат «Пеко»;[(1, 13, 'B-BRAND'), (14, 20, 'I-BRAND')]
ООО СМИК;[(1, 3, 'B-BRAND'), (4, 8, 'I-BRAND')]
Carmez;[(1, 7, 'B-BRAND')]
Искренне ваш;[(1, 8, 'B-BRAND'), (9, 12, 'I-BRAND')]
Сафроново;[(1, 10, 'B-BRAND')]
5 морей;[(1, 1, 'B-BRAND'), (2, 7, 'I-BRAND')]
Инекс;[(1, 6, 'B-BRAND')]
Altier;[(1, 7, 'B-BRAND')]
Česká pinta;[(1, 5, 'B-BRAND'), (6, 11, 'I-BRAND')]
Hua Qing Jun;[(1, 3, 'B-BRAND'), (4, 7, 'I-BRAND'), (8, 11, 'I-BRAND')]
ООО Владимирский консервный завод;[(1, 3, 'B-BRAND'), (4, 15, 'I-BRAND'), (16, 25, 'I-BRAND'), (26, 31, 'I-BRAND')]
Фруто-няня;[(1, 11, 'B-BRAND')]
ООО Мясной край;[(1, 3, 'B-BRAND'), (4, 9, 'I-BRAND'), (10, 14, 'I-BRAND')]
Мон’дэлис рус;[(1, 9, 'B-BRAND'), (10, 13, 'I-BRAND')]
вербена;[(1, 8, 'B-BRAND')]
Балтимор;[(1, 9, 'B-BRAND')]
Производственное объединение МасКа,Зерница;[(1, 16, 'B-BRAND'), (17, 27, 'I-BRAND'), (28, 41, 'I-BRAND')]
Торговый Дом Кристалл;[(1, 8, 'B-BRAND'), (9, 11, 'I-BRAND'), (12, 20, 'I-BRAND')]
Покровская слобода;[(1, 10, 'B-BRAND'), (11, 18, 'I-BRAND')]
Станция молочная;[(1, 7, 'B-BRAND'), (8, 16, 'I-BRAND')]
VELLE;[(1, 6, 'B-BRAND')]
muratbey;[(1, 9, 'B-BRAND')]
Три несушки;[(1, 3, 'B-BRAND'), (4, 11, 'I-BRAND')]
GREMILux;[(1, 9, 'B-BRAND')]
Chikolab;[(1, 9, 'B-BRAND')]
Эрмигурт;[(1, 9, 'B-BRAND')]
Nescafé Gold, Nescafe;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND'), (13, 20, 'I-BRAND')]
Сибирский хлеб;[(1, 9, 'B-BRAND'), (10, 14, 'I-BRAND')]
Тонус,Active+;[(1, 14, 'B-BRAND')]
красный Октябрь;[(1, 7, 'B-BRAND'), (8, 15, 'I-BRAND')]
Garden;[(1, 7, 'B-BRAND')]
Sogat;[(1, 6, 'B-BRAND')]
R.A.W. LIFE;[(1, 6, 'B-BRAND'), (7, 11, 'I-BRAND')]
Сок;[(1, 4, 'B-BRAND')]
Полёт;[(1, 6, 'B-BRAND')]
Елизавета;[(1, 10, 'B-BRAND')]
Вкусы мира;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
Kaufland;[(1, 9, 'B-BRAND')]
ООО НБН-ПЛОМБИР;[(1, 3, 'B-BRAND'), (4, 15, 'I-BRAND')]
Русская печь;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND')]
Балтийский Деликатес;[(1, 10, 'B-BRAND'), (11, 20, 'I-BRAND')]
Тандер,Магнит,Производственная компания «Луч»;[(1, 30, 'B-BRAND'), (31, 38, 'I-BRAND'), (39, 44, 'I-BRAND')]
Ferrero;[(1, 8, 'B-BRAND')]
ООО КОЛОС-ПРОМ;[(1, 3, 'B-BRAND'), (4, 14, 'I-BRAND')]
Cass Kubana;[(1, 4, 'B-BRAND'), (5, 11, 'I-BRAND')]
Каждый день;[(1, 6, 'B-BRAND'), (7, 11, 'I-BRAND')]
Хрутка;[(1, 7, 'B-BRAND')]
Зарница;[(1, 8, 'B-BRAND')]
Агриволга;[(1, 10, 'B-BRAND')]
SnaqFabric;[(1, 11, 'B-BRAND')]
Верес;[(1, 6, 'B-BRAND')]
jhj;[(1, 4, 'B-BRAND')]
Kolios;[(1, 7, 'B-BRAND')]
ВеганИваныч;[(1, 12, 'B-BRAND')]
Hellmann's;[(1, 11, 'B-BRAND')]
Доктор вкус;[(1, 6, 'B-BRAND'), (7, 11, 'I-BRAND')]
Свежее Завтра;[(1, 6, 'B-BRAND'), (7, 13, 'I-BRAND')]
Московский Картофель;[(1, 10, 'B-BRAND'), (11, 20, 'I-BRAND')]
Санта Бремор;[(1, 5, 'B-BRAND'), (6, 12, 'I-BRAND')]
Вдохновение;[(1, 12, 'B-BRAND')]
ресурс-с;[(1, 9, 'B-BRAND')]
Constancia;[(1, 11, 'B-BRAND')]
Chazz;[(1, 6, 'B-BRAND')]
Top Less;[(1, 3, 'B-BRAND'), (4, 8, 'I-BRAND')]
Alpro, Danone;[(1, 6, 'B-BRAND'), (7, 13, 'I-BRAND')]
Sprite;[(1, 7, 'B-BRAND')]
Продснабалтай;[(1, 14, 'B-BRAND')]
Рулет путиеа;[(1, 5, 'B-BRAND'), (6, 12, 'I-BRAND')]
Кофе Пью;[(1, 4, 'B-BRAND'), (5, 8, 'I-BRAND')]
Michelangelo;[(1, 13, 'B-BRAND')]
Protein Cookie;[(1, 7, 'B-BRAND'), (8, 14, 'I-BRAND')]
Janet's Bakery;[(1, 7, 'B-BRAND'), (8, 14, 'I-BRAND')]
Sherwood;[(1, 9, 'B-BRAND')]
Гастроном;[(1, 10, 'B-BRAND')]
Lidskij;[(1, 8, 'B-BRAND')]
МакарOFF;[(1, 9, 'B-BRAND')]
эко фуд;[(1, 3, 'B-BRAND'), (4, 7, 'I-BRAND')]
3 Корочки;[(1, 1, 'B-BRAND'), (2, 9, 'I-BRAND')]
Егорьевская колбасно гастрономическая фабрика;[(1, 11, 'B-BRAND'), (12, 19, 'I-BRAND'), (20, 35, 'I-BRAND'), (36, 43, 'I-BRAND')]
Демидовская Забава;[(1, 11, 'B-BRAND'), (12, 18, 'I-BRAND')]
Семейные секреты,Талосто-Продукты,ЗАО «Тандер»,Магнит;[(1, 8, 'B-BRAND'), (9, 36, 'I-BRAND'), (37, 52, 'I-BRAND')]
Lucky days;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
ООО Стандарт;[(1, 3, 'B-BRAND'), (4, 12, 'I-BRAND')]
Red Bull;[(1, 3, 'B-BRAND'), (4, 8, 'I-BRAND')]
Княгинино;[(1, 10, 'B-BRAND')]
Жемчужина России;[(1, 9, 'B-BRAND'), (10, 16, 'I-BRAND')]
Тихорецкий пивоваренный завод;[(1, 10, 'B-BRAND'), (11, 22, 'I-BRAND'), (23, 28, 'I-BRAND')]
Арктика;[(1, 8, 'B-BRAND')]
Ralph Lauren;[(1, 5, 'B-BRAND'), (6, 12, 'I-BRAND')]
Grechka bread;[(1, 7, 'B-BRAND'), (8, 13, 'I-BRAND')]
ООО Ресурс;[(1, 3, 'B-BRAND'), (4, 10, 'I-BRAND')]
Агросила;[(1, 9, 'B-BRAND')]
Счастье;[(1, 8, 'B-BRAND')]
Северодвинск-молоко;[(1, 20, 'B-BRAND')]
Атаг Шексна;[(1, 4, 'B-BRAND'), (5, 11, 'I-BRAND')]
Молочная Речка;[(1, 8, 'B-BRAND'), (9, 14, 'I-BRAND')]
ООО кофейная компания;[(1, 3, 'B-BRAND'), (4, 11, 'I-BRAND'), (12, 20, 'I-BRAND')]
עוף טוב;[(1, 3, 'B-BRAND'), (4, 7, 'I-BRAND')]
Ludwig Schokolade;[(1, 6, 'B-BRAND'), (7, 17, 'I-BRAND')]
Фрутелла;[(1, 9, 'B-BRAND')]
Калужский хлебокомбинат;[(1, 9, 'B-BRAND'), (10, 23, 'I-BRAND')]
Просто яйцо;[(1, 6, 'B-BRAND'), (7, 11, 'I-BRAND')]
Добрый знак;[(1, 6, 'B-BRAND'), (7, 11, 'I-BRAND')]
Ясно Солнышко,Yasno solnyshko;[(1, 4, 'B-BRAND'), (5, 18, 'I-BRAND'), (19, 28, 'I-BRAND')]
Наша семья;[(1, 4, 'B-BRAND'), (5, 10, 'I-BRAND')]
Покровский Хлеб;[(1, 10, 'B-BRAND'), (11, 15, 'I-BRAND')]
Окраина;[(1, 8, 'B-BRAND')]
ООО Агрофуд-консалт;[(1, 3, 'B-BRAND'), (4, 19, 'I-BRAND')]
Восточный Гость;[(1, 9, 'B-BRAND'), (10, 15, 'I-BRAND')]
из Любовского;[(1, 2, 'B-BRAND'), (3, 13, 'I-BRAND')]
Maxima Grupé UAB;[(1, 6, 'B-BRAND'), (7, 11, 'I-BRAND'), (12, 15, 'I-BRAND')]
Bakers House;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
Ferragosto;[(1, 11, 'B-BRAND')]
Say cheese;[(1, 3, 'B-BRAND'), (4, 10, 'I-BRAND')]
Калинов Мост;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND')]
Морзко;[(1, 7, 'B-BRAND')]
Молочный стандарт;[(1, 8, 'B-BRAND'), (9, 17, 'I-BRAND')]
Sempio;[(1, 7, 'B-BRAND')]
едв;[(1, 4, 'B-BRAND')]
Волшебная Печка,Siberia Group;[(1, 9, 'B-BRAND'), (10, 22, 'I-BRAND'), (23, 28, 'I-BRAND')]
ruckpack;[(1, 9, 'B-BRAND')]
Pergale;[(1, 8, 'B-BRAND')]
Смирновъ;[(1, 9, 'B-BRAND')]
Picador;[(1, 8, 'B-BRAND')]
Тожинки;[(1, 8, 'B-BRAND')]
Fresh;[(1, 6, 'B-BRAND')]
SanSanich;[(1, 10, 'B-BRAND')]
Амка;[(1, 5, 'B-BRAND')]
Фермерская коллекция;[(1, 10, 'B-BRAND'), (11, 20, 'I-BRAND')]
Черный кабан;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
оліяр;[(1, 6, 'B-BRAND')]
русский бисквит;[(1, 7, 'B-BRAND'), (8, 15, 'I-BRAND')]
Галичский хлеб;[(1, 9, 'B-BRAND'), (10, 14, 'I-BRAND')]
«Россия» — Щедрая Душа!;[(1, 8, 'B-BRAND'), (9, 9, 'I-BRAND'), (10, 15, 'I-BRAND'), (16, 21, 'I-BRAND')]
АО ЭФКО;[(1, 2, 'B-BRAND'), (3, 7, 'I-BRAND')]
GLS;[(1, 4, 'B-BRAND')]
Дары кубани;[(1, 4, 'B-BRAND'), (5, 11, 'I-BRAND')]
Инди;[(1, 5, 'B-BRAND')]
Русский квас;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND')]
Ладные,;[(1, 8, 'B-BRAND')]
Солнечный завтрак;[(1, 9, 'B-BRAND'), (10, 17, 'I-BRAND')]
Кунгурский молочный завод;[(1, 10, 'B-BRAND'), (11, 18, 'I-BRAND'), (19, 24, 'I-BRAND')]
Пир пак;[(1, 3, 'B-BRAND'), (4, 7, 'I-BRAND')]
Пригожино;[(1, 10, 'B-BRAND')]
mr-creamy;[(1, 10, 'B-BRAND')]
Floris;[(1, 7, 'B-BRAND')]
Lays,;[(1, 6, 'B-BRAND')]
Моя Семья;[(1, 3, 'B-BRAND'), (4, 9, 'I-BRAND')]
Печагин;[(1, 8, 'B-BRAND')]
Хрусteam;[(1, 9, 'B-BRAND')]
Северное молоко;[(1, 8, 'B-BRAND'), (9, 15, 'I-BRAND')]
Волжское яйцо;[(1, 8, 'B-BRAND'), (9, 13, 'I-BRAND')]
Hammock;[(1, 8, 'B-BRAND')]
Fans kithen;[(1, 4, 'B-BRAND'), (5, 11, 'I-BRAND')]
БелВита;[(1, 8, 'B-BRAND')]
Peanut BOOM;[(1, 6, 'B-BRAND'), (7, 11, 'I-BRAND')]
Krusovice;[(1, 10, 'B-BRAND')]
Праздник Сластёны!;[(1, 8, 'B-BRAND'), (9, 18, 'I-BRAND')]
Nescafe Classic;[(1, 7, 'B-BRAND'), (8, 15, 'I-BRAND')]
Turbo Energy;[(1, 5, 'B-BRAND'), (6, 12, 'I-BRAND')]
Натура;[(1, 7, 'B-BRAND')]
Barambo;[(1, 8, 'B-BRAND')]
Мерендинка;[(1, 11, 'B-BRAND')]
Alpro Barista;[(1, 5, 'B-BRAND'), (6, 13, 'I-BRAND')]
Аютинский Хлеб;[(1, 9, 'B-BRAND'), (10, 14, 'I-BRAND')]
Ролтон;[(1, 7, 'B-BRAND')]
O'ZERA;[(1, 7, 'B-BRAND')]
Клевер;[(1, 7, 'B-BRAND')]
Семейная ферма;[(1, 8, 'B-BRAND'), (9, 14, 'I-BRAND')]
ООО Мурманск Сифуд;[(1, 3, 'B-BRAND'), (4, 11, 'I-BRAND'), (12, 17, 'I-BRAND')]
Молочный Мир, От фермера;[(1, 8, 'B-BRAND'), (9, 12, 'I-BRAND'), (13, 14, 'I-BRAND'), (15, 22, 'I-BRAND')]
Global Village;[(1, 6, 'B-BRAND'), (7, 14, 'I-BRAND')]
Папа может!;[(1, 4, 'B-BRAND'), (5, 11, 'I-BRAND')]
სოფლის ნობათი;[(1, 6, 'B-BRAND'), (7, 13, 'I-BRAND')]
Континент;[(1, 10, 'B-BRAND')]
Приправый;[(1, 10, 'B-BRAND')]
Старооскольская;[(1, 16, 'B-BRAND')]
BAGI;[(1, 5, 'B-BRAND')]
OfficeSpace;[(1, 12, 'B-BRAND')]
СытоЕдов;[(1, 9, 'B-BRAND')]
Ярче;[(1, 5, 'B-BRAND')]
Aida;[(1, 5, 'B-BRAND')]
мираторг;[(1, 9, 'B-BRAND')]
48 копенк;[(1, 2, 'B-BRAND'), (3, 9, 'I-BRAND')]
Данессия;[(1, 9, 'B-BRAND')]
Viola, Виола;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
Тортилы;[(1, 8, 'B-BRAND')]
Ебатон;[(1, 7, 'B-BRAND')]
Delissir;[(1, 9, 'B-BRAND')]
yan;[(1, 4, 'B-BRAND')]
Липецкий бювет;[(1, 8, 'B-BRAND'), (9, 14, 'I-BRAND')]
Бингре;[(1, 7, 'B-BRAND')]
Волжский Посад;[(1, 8, 'B-BRAND'), (9, 14, 'I-BRAND')]
Богатый улов;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND')]
Вамин;[(1, 6, 'B-BRAND')]
Стм ярче;[(1, 3, 'B-BRAND'), (4, 8, 'I-BRAND')]
Active Energy;[(1, 6, 'B-BRAND'), (7, 13, 'I-BRAND')]
Молочный знак;[(1, 8, 'B-BRAND'), (9, 13, 'I-BRAND')]
Женечка, Калинов Мост;[(1, 8, 'B-BRAND'), (9, 15, 'I-BRAND'), (16, 20, 'I-BRAND')]
Караван-Сарай;[(1, 14, 'B-BRAND')]
Аладушкин групп;[(1, 9, 'B-BRAND'), (10, 15, 'I-BRAND')]
Кда;[(1, 4, 'B-BRAND')]
Виктория;[(1, 9, 'B-BRAND')]
Мария;[(1, 6, 'B-BRAND')]
Мастер сладостей;[(1, 6, 'B-BRAND'), (7, 16, 'I-BRAND')]
Чим Чим;[(1, 3, 'B-BRAND'), (4, 7, 'I-BRAND')]
UNI DAN;[(1, 3, 'B-BRAND'), (4, 7, 'I-BRAND')]
Bonavita;[(1, 9, 'B-BRAND')]
Fazer, Karl Fazer;[(1, 6, 'B-BRAND'), (7, 10, 'I-BRAND'), (11, 16, 'I-BRAND')]
Вкусвилл ИП Нестерова Лиана Викторовна;[(1, 8, 'B-BRAND'), (9, 10, 'I-BRAND'), (11, 19, 'I-BRAND'), (20, 24, 'I-BRAND'), (25, 35, 'I-BRAND')]
супер;[(1, 6, 'B-BRAND')]
Невский Кондитер;[(1, 7, 'B-BRAND'), (8, 16, 'I-BRAND')]
Eggan;[(1, 6, 'B-BRAND')]
Ясный луг;[(1, 5, 'B-BRAND'), (6, 9, 'I-BRAND')]
Меридиан,BILLA;[(1, 15, 'B-BRAND')]
Майский;[(1, 8, 'B-BRAND')]
Агропромышленная компания «Любовское», Северодвинск-Молоко, из Любовского;[(1, 16, 'B-BRAND'), (17, 24, 'I-BRAND'), (25, 36, 'I-BRAND'), (37, 56, 'I-BRAND'), (57, 58, 'I-BRAND'), (59, 69, 'I-BRAND')]
erkapharm;[(1, 10, 'B-BRAND')]
Ижевский хлебозавод 3;[(1, 8, 'B-BRAND'), (9, 18, 'I-BRAND'), (19, 20, 'I-BRAND')]
Буше;[(1, 5, 'B-BRAND')]
Серышевский;[(1, 12, 'B-BRAND')]
WWW.MAMAPAPA.PRO;[(1, 17, 'B-BRAND')]
Babaevsky Confectionery,United Confectioners;[(1, 9, 'B-BRAND'), (10, 29, 'I-BRAND'), (30, 43, 'I-BRAND')]
Potato Snacks;[(1, 6, 'B-BRAND'), (7, 13, 'I-BRAND')]
Веселая коровка;[(1, 7, 'B-BRAND'), (8, 15, 'I-BRAND')]
rich;[(1, 5, 'B-BRAND')]
Барни;[(1, 6, 'B-BRAND')]
Империя вкуса;[(1, 7, 'B-BRAND'), (8, 13, 'I-BRAND')]
Здравник;[(1, 9, 'B-BRAND')]
Любимыи;[(1, 8, 'B-BRAND')]
Peter Paul;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
Иней;[(1, 5, 'B-BRAND')]
Trattoria turatti;[(1, 9, 'B-BRAND'), (10, 17, 'I-BRAND')]
Агорозолдинг Степь;[(1, 12, 'B-BRAND'), (13, 18, 'I-BRAND')]
Nutberry;[(1, 9, 'B-BRAND')]
Volt;[(1, 5, 'B-BRAND')]
Бабкины;[(1, 8, 'B-BRAND')]
Мистер Салат;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
ООО Фермерское хозяйство Ферма Сатурн;[(1, 3, 'B-BRAND'), (4, 13, 'I-BRAND'), (14, 22, 'I-BRAND'), (23, 27, 'I-BRAND'), (28, 34, 'I-BRAND')]
Shebekino;[(1, 10, 'B-BRAND')]
Калачёво;[(1, 9, 'B-BRAND')]
